Pitch Class Num	Pitch Class Name	Pitch Class Count
9	A♮	6
8	G#/A♭	5
10	A#/B♭	5
5	E#/F♮	4
1	C#/D♭	4
11	B♮	4
2	D♮	4
7	G♮	4
4	E♮/F♭	4
6	F#/G♭	4
0	C♮/B#	4
3	D#/E♭	2
